trade_date,Q1,Q2,Q3,Q4,Q5,Q5-Q1
2022-01-03,0.10728179625967353,0.09765763341746607,0.1088893309143432,0.13193174499090746,0.16716050995644696,0.05987871369677343
2022-01-04,0.16231990952486106,0.10889547408675132,0.08794002321815532,0.11461498675553845,0.11553410850851466,-0.0467858010163464
2022-01-05,0.08171531070198339,0.15075575019730972,0.09943525955545733,0.13109042413277988,0.12656870291765834,0.044853392215674956
2022-01-06,0.11425586850345519,0.10084677598505536,0.08321007574579742,0.062405352934685465,0.09402292210488038,-0.020232946398574814
2022-01-07,0.058978675236813445,0.06150933633637526,0.03658263105810001,0.0734306474456374,0.1090031943784633,0.050024519141649855
2022-01-10,0.0021770606794252745,0.021737022454800886,0.01927016200115379,0.046037352756109685,0.034803564918828724,0.03262650423940345
2022-01-11,-0.012819810594054118,0.04814264312746347,0.011319535358950425,-0.012720147116987213,0.023574879417087746,0.036394690011141866
2022-01-12,-0.003225586193036765,0.04979841923703406,0.014652526272301255,-0.0045646276373065104,0.03396232069153344,0.0371879068845702
2022-01-13,0.01701210881146939,0.04560013374632659,0.036419121047014995,0.041776369228406114,0.04191176991118201,0.024899661099712624
2022-01-14,0.022600962415935094,0.04394556395865395,0.027267784422733782,0.0500373715661283,0.05753524511164079,0.0349342826957057
2022-01-17,-0.031562250828743914,-0.0018960829569092859,0.02631200194674474,0.0056219139044239586,0.02480817334638183,0.05637042417512574
2022-01-18,-0.03746464385236268,-5.915490484213285e-07,0.0035772264361255504,0.05068920382362357,0.03266091461537574,0.07012555846773842
2022-01-19,-0.06295088506011665,-0.004418754984947444,-0.024424168454407858,0.004294933929798674,-0.015999093872837333,0.04695179118727931
2022-01-20,-0.03699566803728502,-0.011721947516658357,0.017714487386323318,0.007034386297305416,0.020715946311625294,0.05771161434891031
2022-01-21,-0.012677875503922334,0.014312747141908324,0.008069958730015961,0.0030234067690935638,0.03415203290781388,0.04682990841173621
2022-01-24,-0.018126337025191407,-0.0021805176849950814,-0.004538012760349643,0.015740543491020404,-0.0009499848969007907,0.017176352128290617
2022-01-25,-0.05882898239123169,0.010859017066175702,0.001229561040269574,-0.013875325823768861,0.005169596542326581,0.06399857893355827
2022-01-26,-0.03191421043813771,0.05173942733906256,0.03368813463930768,0.0711502053424772,0.013539665734581624,0.045453876172719336
2022-01-27,0.004082042518707575,0.028486602452058335,0.05678976574975733,0.054702074376556886,0.05587036465316503,0.05178832213445745
2022-01-28,0.015955845190143553,0.005032013424207264,0.06025498886479808,0.0560008549081401,0.03888864195660655,0.022932796766463
2022-01-31,-0.02127689083357892,0.08243300110912578,0.06951359693814353,0.06728460124599298,0.0350738483283535,0.05635073916193242
