index_code,ts_code,weight,in_date,out_date
000905.SH,000001.SZ,0.016666666666666666,2022-01-03,
000905.SH,000002.SZ,0.016666666666666666,2022-01-03,
000905.SH,000003.SZ,0.016666666666666666,2022-01-03,
000905.SH,000004.SZ,0.016666666666666666,2022-01-03,
000905.SH,000005.SZ,0.016666666666666666,2022-01-03,
000905.SH,000006.SZ,0.016666666666666666,2022-01-03,
000905.SH,000007.SZ,0.016666666666666666,2022-01-03,
000905.SH,000008.SZ,0.016666666666666666,2022-01-03,
000905.SH,000009.SZ,0.016666666666666666,2022-01-03,
000905.SH,000010.SZ,0.016666666666666666,2022-01-03,
000905.SH,000011.SZ,0.016666666666666666,2022-01-03,
000905.SH,000012.SZ,0.016666666666666666,2022-01-03,
000905.SH,000013.SZ,0.016666666666666666,2022-01-03,
000905.SH,000014.SZ,0.016666666666666666,2022-01-03,
000905.SH,000015.SZ,0.016666666666666666,2022-01-03,
000905.SH,000016.SZ,0.016666666666666666,2022-01-03,
000905.SH,000017.SZ,0.016666666666666666,2022-01-03,
000905.SH,000018.SZ,0.016666666666666666,2022-01-03,
000905.SH,000019.SZ,0.016666666666666666,2022-01-03,
000905.SH,000020.SZ,0.016666666666666666,2022-01-03,
000905.SH,000021.SZ,0.016666666666666666,2022-01-03,
000905.SH,000022.SZ,0.016666666666666666,2022-01-03,
000905.SH,000023.SZ,0.016666666666666666,2022-01-03,
000905.SH,000024.SZ,0.016666666666666666,2022-01-03,
000905.SH,000025.SZ,0.016666666666666666,2022-01-03,
000905.SH,000026.SZ,0.016666666666666666,2022-01-03,
000905.SH,000027.SZ,0.016666666666666666,2022-01-03,
000905.SH,000028.SZ,0.016666666666666666,2022-01-03,
000905.SH,000029.SZ,0.016666666666666666,2022-01-03,
000905.SH,000030.SZ,0.016666666666666666,2022-01-03,
000905.SH,000031.SZ,0.016666666666666666,2022-01-03,
000905.SH,000032.SZ,0.016666666666666666,2022-01-03,
000905.SH,000033.SZ,0.016666666666666666,2022-01-03,
000905.SH,000034.SZ,0.016666666666666666,2022-01-03,
000905.SH,000035.SZ,0.016666666666666666,2022-01-03,
000905.SH,000036.SZ,0.016666666666666666,2022-01-03,
000905.SH,000037.SZ,0.016666666666666666,2022-01-03,
000905.SH,000038.SZ,0.016666666666666666,2022-01-03,
000905.SH,000039.SZ,0.016666666666666666,2022-01-03,
000905.SH,000040.SZ,0.016666666666666666,2022-01-03,
000905.SH,000041.SZ,0.016666666666666666,2022-01-03,
000905.SH,000042.SZ,0.016666666666666666,2022-01-03,
000905.SH,000043.SZ,0.016666666666666666,2022-01-03,
000905.SH,000044.SZ,0.016666666666666666,2022-01-03,
000905.SH,000045.SZ,0.016666666666666666,2022-01-03,
000905.SH,000046.SZ,0.016666666666666666,2022-01-03,
000905.SH,000047.SZ,0.016666666666666666,2022-01-03,
000905.SH,000048.SZ,0.016666666666666666,2022-01-03,
000905.SH,000049.SZ,0.016666666666666666,2022-01-03,
000905.SH,000050.SZ,0.016666666666666666,2022-01-03,
000905.SH,000051.SZ,0.016666666666666666,2022-01-03,
000905.SH,000052.SZ,0.016666666666666666,2022-01-03,
000905.SH,000053.SZ,0.016666666666666666,2022-01-03,
000905.SH,000054.SZ,0.016666666666666666,2022-01-03,
000905.SH,000055.SZ,0.016666666666666666,2022-01-03,
000905.SH,000056.SZ,0.016666666666666666,2022-01-03,
000905.SH,000057.SZ,0.016666666666666666,2022-01-03,
000905.SH,000058.SZ,0.016666666666666666,2022-01-03,
000905.SH,000059.SZ,0.016666666666666666,2022-01-03,
000905.SH,000060.SZ,0.016666666666666666,2022-01-03,
