trade_date,ts_code,up_limit,down_limit
2022-01-03,000001.SZ,11.772440104124097,9.631996448828806
2022-01-03,000002.SZ,23.436420556405462,19.175253182513558
2022-01-03,000003.SZ,10.264818919938616,8.398488207222504
2022-01-03,000004.SZ,26.18847683740707,21.426935594242146
2022-01-03,000005.SZ,20.411114674114046,16.700002915184218
2022-01-03,000006.SZ,13.887251448084852,11.362296639342151
2022-01-03,000007.SZ,12.439784463833819,10.178005470409488
2022-01-03,000008.SZ,29.485088940655466,24.12416367871811
2022-01-03,000009.SZ,14.804872492498392,12.11307749386232
2022-01-03,000010.SZ,41.36422816686326,33.84345940925176
2022-01-03,000011.SZ,29.253352117453904,23.934560823371374
2022-01-03,000012.SZ,21.009817119626266,17.18985037060331
2022-01-03,000013.SZ,29.600225300145873,24.218366154664803
2022-01-03,000014.SZ,9.602696260245352,7.8567514856552885
2022-01-03,000015.SZ,42.54128430609888,34.80650534135363
2022-01-03,000016.SZ,25.77708098039009,21.090338983955526
2022-01-03,000017.SZ,36.35227999921008,29.742774544808245
2022-01-03,000018.SZ,11.712095997269838,9.58262399776623
2022-01-03,000019.SZ,25.930373245503247,21.21575992813902
2022-01-03,000020.SZ,26.07288620127914,21.332361437410203
2022-01-03,000021.SZ,41.811491215119396,34.209401903279506
2022-01-03,000022.SZ,28.924827443637856,23.665767908430972
2022-01-03,000023.SZ,25.466826917204777,20.83649475044027
2022-01-03,000024.SZ,18.197543340834656,14.888899097046535
2022-01-03,000025.SZ,20.47122870645784,16.749187123465504
2022-01-03,000026.SZ,27.127668566998132,22.19536519118029
2022-01-03,000027.SZ,24.249683402737645,19.840650056785346
2022-01-03,000028.SZ,9.560745211787632,7.8224279005535164
2022-01-03,000029.SZ,37.8854757316414,30.997207416797504
2022-01-03,000030.SZ,40.3448591687598,33.00943022898529
2022-01-03,000031.SZ,13.7367679327511,11.239173763159991
2022-01-03,000032.SZ,28.30207225257454,23.15624093392462
