trade_date,ts_code,pe_ttm,pb,total_mv,turnover_rate,net_mf_amount
2022-01-03,000001.SZ,20.614436364360337,1.7909393254812167,494314191.0403478,4.22829654729525,-1352923.3452579435
2022-01-03,000002.SZ,22.48286474384515,1.7345884795273767,1586048762.2113109,1.5343917934704074,591327.5893770196
2022-01-03,000003.SZ,17.055493020093806,1.816220079284403,797935506.0711604,0.7238797699026838,-11195.842139795088
2022-01-03,000004.SZ,18.420958010125208,1.3936367489934052,2342050409.255152,0.7635483316964469,-437141.19751401775
2022-01-03,000005.SZ,19.534667559639345,2.0478835149219754,1922679863.3000345,2.587351582005346,79021.59902101921
2022-01-03,000006.SZ,23.70695848285682,1.8246782559175838,1328248380.2855785,3.6587519371357744,-1528550.977180119
2022-01-03,000007.SZ,13.513661335771761,1.7482907554159257,805440770.1540481,2.805868029010047,-523047.40720770945
2022-01-03,000008.SZ,22.732858112571968,1.589951872596731,1824798925.528491,3.4078614050468197,1821101.398704135
2022-01-03,000009.SZ,16.05148757939996,1.7534646044372213,1554912674.6161664,4.1601730316960355,433926.0165914042
2022-01-03,000010.SZ,18.74679091134246,1.9743905670612882,2839807036.735484,0.4295423102968542,428886.32616646
2022-01-03,000011.SZ,15.237786970620062,1.7313891561052372,1409501093.0665624,0.9804431612650535,2858053.7620079247
2022-01-03,000012.SZ,14.608489152889742,1.9215598003034309,1084239664.9857826,0.4234360257999483,519033.0001630582
2022-01-03,000013.SZ,18.428388362371216,1.8005887550370663,1536642141.1230242,3.5496843246859546,-100186.73318790006
2022-01-03,000014.SZ,15.835437660528584,1.6662163032292845,841440183.5793166,1.345792265253638,-315552.52097288816
2022-01-03,000015.SZ,16.641685540376145,1.7176087294964237,3202367683.0013323,3.1486963854605654,-311080.7052432744
2022-01-03,000016.SZ,20.16711205218401,2.2776807746660443,2482477627.736415,3.006125564408439,785023.553652897
2022-01-03,000017.SZ,19.011574508711576,1.7065571708865934,2302327970.0316787,2.8418328843302554,769306.5279353848
2022-01-03,000018.SZ,17.09430951605387,1.840176421651095,944839611.4263444,2.7528326192053227,589589.6808562462
2022-01-03,000019.SZ,17.30634349114158,1.8992948620252483,2357258625.1232767,2.661451210345554,-2247366.9935327363
2022-01-03,000020.SZ,13.948412312869895,1.689268201609717,1739219570.6249986,0.7148544305548281,-1584090.6950032548
2022-01-03,000021.SZ,20.41423665729597,1.8743049585592229,3722833836.375379,3.478888232403805,261100.12110446286
2022-01-03,000022.SZ,21.021042810426504,1.6904322152649094,1669514880.200868,1.8482752379428622,1447409.0704387762
2022-01-03,000023.SZ,18.824109172862933,1.7879775957122008,1636833131.8273168,4.290137038016517,615243.5682577948
