trade_date,is_open
2022-01-03,True
2022-01-04,True
2022-01-05,True
2022-01-06,True
2022-01-07,True
2022-01-10,True
2022-01-11,True
2022-01-12,True
2022-01-13,True
2022-01-14,True
2022-01-17,True
2022-01-18,True
2022-01-19,True
2022-01-20,True
2022-01-21,True
2022-01-24,True
2022-01-25,True
2022-01-26,True
2022-01-27,True
2022-01-28,True
2022-01-31,True
2022-02-01,True
2022-02-02,True
2022-02-03,True
2022-02-04,True
2022-02-07,True
2022-02-08,True
2022-02-09,True
2022-02-10,True
2022-02-11,True
2022-02-14,True
2022-02-15,True
2022-02-16,True
2022-02-17,True
2022-02-18,True
2022-02-21,True
2022-02-22,True
2022-02-23,True
2022-02-24,True
2022-02-25,True
2022-02-28,True
2022-03-01,True
2022-03-02,True
2022-03-03,True
2022-03-04,True
2022-03-07,True
2022-03-08,True
2022-03-09,True
2022-03-10,True
2022-03-11,True
2022-03-14,True
2022-03-15,True
2022-03-16,True
2022-03-17,True
2022-03-18,True
2022-03-21,True
2022-03-22,True
2022-03-23,True
2022-03-24,True
2022-03-25,True
2022-03-28,True
2022-03-29,True
2022-03-30,True
2022-03-31,True
2022-04-01,True
2022-04-04,True
2022-04-05,True
2022-04-06,True
2022-04-07,True
2022-04-08,True
2022-04-11,True
2022-04-12,True
2022-04-13,True
2022-04-14,True
2022-04-15,True
2022-04-18,True
2022-04-19,True
2022-04-20,True
2022-04-21,True
2022-04-22,True
2022-04-25,True
2022-04-26,True
2022-04-27,True
2022-04-28,True
2022-04-29,True
2022-05-02,True
2022-05-03,True
2022-05-04,True
2022-05-05,True
2022-05-06,True
2022-05-09,True
2022-05-10,True
2022-05-11,True
2022-05-12,True
2022-05-13,True
2022-05-16,True
2022-05-17,True
2022-05-18,True
2022-05-19,True
2022-05-20,True
2022-05-23,True
2022-05-24,True
2022-05-25,True
2022-05-26,True
2022-05-27,True
2022-05-30,True
2022-05-31,True
2022-06-01,True
2022-06-02,True
2022-06-03,True
2022-06-06,True
2022-06-07,True
2022-06-08,True
2022-06-09,True
2022-06-10,True
2022-06-13,True
2022-06-14,True
2022-06-15,True
2022-06-16,True
2022-06-17,True
2022-06-20,True
2022-06-21,True
2022-06-22,True
2022-06-23,True
2022-06-24,True
2022-06-27,True
2022-06-28,True
2022-06-29,True
2022-06-30,True
2022-07-01,True
2022-07-04,True
2022-07-05,True
2022-07-06,True
2022-07-07,True
2022-07-08,True
2022-07-11,True
2022-07-12,True
2022-07-13,True
2022-07-14,True
2022-07-15,True
2022-07-18,True
2022-07-19,True
2022-07-20,True
2022-07-21,True
2022-07-22,True
2022-07-25,True
2022-07-26,True
2022-07-27,True
2022-07-28,True
2022-07-29,True
2022-08-01,True
2022-08-02,True
2022-08-03,True
2022-08-04,True
2022-08-05,True
2022-08-08,True
2022-08-09,True
2022-08-10,True
2022-08-11,True
2022-08-12,True
2022-08-15,True
2022-08-16,True
2022-08-17,True
2022-08-18,True
2022-08-19,True
2022-08-22,True
2022-08-23,True
2022-08-24,True
2022-08-25,True
2022-08-26,True
2022-08-29,True
2022-08-30,True
2022-08-31,True
2022-09-01,True
2022-09-02,True
2022-09-05,True
2022-09-06,True
2022-09-07,True
2022-09-08,True
2022-09-09,True
