trade_date,ts_code,open,high,low,close,volume,amount,adj_factor,is_suspended,is_st,up_limit,down_limit
2022-01-03,000001.SZ,10.716305552970262,11.10307309866254,10.656242097047668,10.993958947199264,7147219,78576232.27264258,1.0,False,False,11.772440104124097,9.631996448828806
2022-01-03,000002.SZ,21.52618171344644,22.058052304226642,21.468297280793458,22.00745134712079,1208500,26596004.95299547,1.0,False,False,23.436420556405462,19.175253182513558
2022-01-03,000003.SZ,9.331366790665577,9.351508196314073,9.300101571413627,9.302046111276853,1807088,16809615.903135065,1.0,False,False,10.264818919938616,8.398488207222504
2022-01-03,000004.SZ,23.63360335617715,23.704424633850486,23.257769201965576,23.541726395717607,2222420,52319603.57637072,1.0,False,False,26.18847683740707,21.426935594242146
2022-01-03,000005.SZ,18.667199185354534,18.85280645974205,18.233819042970445,18.49899001938653,4407670,81537443.33874942,1.0,False,False,20.411114674114046,16.700002915184218
2022-01-03,000006.SZ,12.631628521991402,12.711039967839165,12.237627962869398,12.417602215868477,2648346,32886107.157986417,1.0,False,False,13.887251448084852,11.362296639342151
2022-01-03,000007.SZ,11.330309830141859,11.348859359633694,11.090558465017292,11.23027918870075,2378848,26715127.1874824,1.0,False,False,12.439784463833819,10.178005470409488
2022-01-03,000008.SZ,26.789466274436368,27.138060439777142,26.29520647026373,26.47546342476411,6476128,171458489.99809074,1.0,False,False,29.485088940655466,24.12416367871811
2022-01-03,000009.SZ,13.364366477419127,14.338242672806402,13.335063785350359,14.211525534936888,1942259,27602463.373960983,1.0,False,False,14.804872492498392,12.11307749386232
2022-01-03,000010.SZ,37.57365024094001,37.638740989816995,37.461015784606104,37.47290294806189,6684981,250505644.22263774,1.0,False,False,41.36422816686326,33.84345940925176
2022-01-03,000011.SZ,26.618757355058083,27.314290093700098,26.417309432819753,27.184623072036523,6020100,163654149.35596707,1.0,False,False,29.253352117453904,23.934560823371374
2022-01-03,000012.SZ,19.280138647470814,20.018953211695464,19.265894253553366,19.894731772102915,7062537,140507279.2455524,1.0,False,False,21.009817119626266,17.18985037060331
2022-01-03,000013.SZ,27.059036025620685,27.42540988472334,25.77824175420496,26.162664439367404,2905222,76008348.30786785,1.0,False,False,29.600225300145873,24.218366154664803
2022-01-03,000014.SZ,8.737714844574429,8.850113157384326,8.665179646526592,8.725753745996176,6515194,56849978.45139181,1.0,False,False,9.602696260245352,7.8567514856552885
